path	type	strategy	rel_file_path	timestamp	dirty	build	touch_build	node_x	node_y	node_color
/project1/Embody/templates	base	tdn	project1/Embody/templates.tdn	2026-08-27 04:30:47 UTC		22	099.2025.32460	-400	-1200	0.3000,0.5000,0.9000
/project1/Embody/Collection	base	tdn	project1/Embody/Collection.tdn	2026-08-27 04:30:47 UTC		2	099.2025.32460	200	-550	0.3000,0.5000,0.9000
/project1/Embody/windowHeader	container	tdn	project1/Embody/windowHeader.tdn	2026-08-27 04:30:48 UTC		14	099.2025.32460	300	300	0.3000,0.5000,0.9000
/project1/Embody/windowHeader/title	text	tdn	project1/Embody/windowHeader/title.tdn	2026-08-27 03:14:20 UTC		49	099.2025.32460	0	0	0.3000,0.5000,0.9000
/project1/Embody/windowHeader/button_max	text	tdn	project1/Embody/windowHeader/button_max.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	600	0	0.3000,0.5000,0.9000
/project1/Embody/windowHeader/button_min	text	tdn	project1/Embody/windowHeader/button_min.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	300	0	0.3000,0.5000,0.9000
/project1/Embody/windowHeader/button_close	text	tdn	project1/Embody/windowHeader/button_close.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	900	0	0.3000,0.5000,0.9000
/project1/Embody/window_wizard	window	tdn	project1/Embody/window_wizard.tdn	2026-08-27 03:14:21 UTC		1	099.2025.32460	1200	675	0.3000,0.5000,0.9000
/project1/Embody/embot_template	base	tdn	project1/Embody/embot_template.tdn	2026-08-27 03:14:21 UTC		1	099.2025.32460	-700	-1200	0.3000,0.5000,0.9000
/project1/Embody/window_manager	window	tdn	project1/Embody/window_manager.tdn	2026-08-27 03:14:21 UTC		13	099.2025.32460	500	675	0.3000,0.5000,0.9000
/project1/Embody/window_tagging_menu	window	tdn	project1/Embody/window_tagging_menu.tdn	2026-08-27 03:14:21 UTC		24	099.2025.32460	900	675	0.3000,0.5000,0.9000
/project1/output	base	tdn	project1/output.tdn	2026-08-27 07:04:19 UTC		1	099.2025.32460	1200	0	0.3000,0.5000,0.9000
/project1/postfx	base	tdn	project1/postfx.tdn	2026-08-27 07:04:19 UTC		2	099.2025.32460	925	0	0.3000,0.5000,0.9000
/project1/render	base	tdn	project1/render.tdn	2026-08-27 03:14:21 UTC		1	099.2025.32460	-405	162	0.3000,0.5000,0.9000
/project1/filein1	fbx	tdn	project1/filein1.tdn	2026-08-27 07:04:20 UTC		2	099.2025.32460	-100	-100	0.3000,0.5000,0.9000
/project1/filein1/file1	null	tdn	project1/filein1/file1.tdn	2026-08-27 07:04:20 UTC		1	099.2025.32460	629	0	0.3000,0.5000,0.9000
/project1/filein1/group1	geo	tdn	project1/filein1/group1.tdn	2026-08-27 07:04:20 UTC		2	099.2025.32460	909	0	0.3000,0.5000,0.9000
/project1/filein1/mergedGeos	null	tdn	project1/filein1/mergedGeos.tdn	2026-08-27 07:04:20 UTC		1	099.2025.32460	100	-225	0.3000,0.5000,0.9000
/project1/shaders	base	tdn	project1/shaders.tdn	2026-08-27 07:04:20 UTC		2	099.2025.32460	-685	-279	0.3000,0.5000,0.9000
/project1/shaders/cam1	cam	tdn	project1/shaders/cam1.tdn	2026-08-27 07:04:20 UTC		1	099.2025.32460	400	100	0.3000,0.5000,0.9000
/project1/shaders/light1	light	tdn	project1/shaders/light1.tdn	2026-08-27 07:04:20 UTC		1	099.2025.32460	600	100	0.3000,0.5000,0.9000
/project1/shaders/light2	light	tdn	project1/shaders/light2.tdn	2026-08-27 07:04:21 UTC		1	099.2025.32460	800	100	0.3000,0.5000,0.9000
/project1/shaders/geo_toon	geo	tdn	project1/shaders/geo_toon.tdn	2026-08-27 07:04:21 UTC		1	099.2025.32460	0	100	0.3000,0.5000,0.9000
/project1/shaders/geo_crystal	geo	tdn	project1/shaders/geo_crystal.tdn	2026-08-27 07:04:21 UTC		1	099.2025.32460	200	100	0.3000,0.5000,0.9000
/project1/learn_td	base	tdn	project1/learn_td.tdn	2026-08-27 07:04:20 UTC		2	099.2025.32460	714	-342	0.3000,0.5000,0.9000
/project1/learn_td/my_playground	geo	tdn	project1/learn_td/my_playground.tdn	2026-08-27 07:04:21 UTC		2	099.2025.32460	600	0	0.3000,0.5000,0.9000
/project1/learn_td/my_playground/render_cam	cam	tdn	project1/learn_td/my_playground/render_cam.tdn	2026-08-27 07:04:22 UTC		1	099.2025.32460	150	200	0.3000,0.5000,0.9000
/project1/learn_td/instanced_city	geo	tdn	project1/learn_td/instanced_city.tdn	2026-08-27 07:04:21 UTC		2	099.2025.32460	200	-400	0.3000,0.5000,0.9000
/project1/learn_td/instanced_city/render_cam	cam	tdn	project1/learn_td/instanced_city/render_cam.tdn	2026-08-27 07:04:22 UTC		1	099.2025.32460	150	200	0.3000,0.5000,0.9000
/project1/learn_td/nikki_sanctuary	fbx	tdn	project1/learn_td/nikki_sanctuary.tdn	2026-08-27 07:04:21 UTC		2	099.2025.32460	-400	0	0.3000,0.5000,0.9000
/project1/learn_td/nikki_sanctuary/file1	null	tdn	project1/learn_td/nikki_sanctuary/file1.tdn	2026-08-27 07:04:22 UTC		1	099.2025.32460	629	0	0.3000,0.5000,0.9000
/project1/learn_td/nikki_sanctuary/group1	geo	tdn	project1/learn_td/nikki_sanctuary/group1.tdn	2026-08-27 07:04:22 UTC		2	099.2025.32460	909	0	0.3000,0.5000,0.9000
/project1/learn_td/nikki_sanctuary/mergedGeos	null	tdn	project1/learn_td/nikki_sanctuary/mergedGeos.tdn	2026-08-27 07:04:22 UTC		1	099.2025.32460	100	-225	0.3000,0.5000,0.9000
/project1/learn_td/procedural_tower	geo	tdn	project1/learn_td/procedural_tower.tdn	2026-08-27 07:04:21 UTC		2	099.2025.32460	200	0	0.3000,0.5000,0.9000
/project1/learn_td/procedural_tower/render_cam	cam	tdn	project1/learn_td/procedural_tower/render_cam.tdn	2026-08-27 07:04:23 UTC		1	099.2025.32460	875	-150	0.3000,0.5000,0.9000
/project1/learn_td/escher_fractal_tower	geo	tdn	project1/learn_td/escher_fractal_tower.tdn	2026-08-27 07:04:21 UTC		2	099.2025.32460	200	-800	0.3000,0.5000,0.9000
